Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材A002_18歲-45歲(男)_興趣手遊(1-2),N/A,N/A,N/A,7,N/A,111,3,0.4286,0.0000,N/A,N/A,0.0000,N/A,6,18,0.0,6,6,0.0,6,45,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材B001_18歲-45歲(女)_興趣手遊(2-3),N/A,N/A,N/A,2,N/A,84,1,0.5000,0.0000,N/A,N/A,0.0000,N/A,2,16,0.0,2,3,0.0,2,39,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材B001_18歲-45歲(男)_興趣手遊(1-3),N/A,N/A,N/A,28,N/A,132,12,0.4286,0.0000,N/A,N/A,0.0000,N/A,27,39,0.0,27,27,0.0,23,146,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材B002_18歲-45歲(女)_興趣手遊(2-4),N/A,N/A,N/A,1,N/A,1,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,4,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408-Android(TW)_素材B002_18歲-45歲(男)_興趣手遊(1-4),N/A,N/A,N/A,1,N/A,10,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,7,0.0,1,1,0.0,1,22,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408_AudienceNetwork-Android(TW)_MUA001_18歲-45歲(男)_興趣手遊(1-5)_AudienceNetwork,N/A,N/A,N/A,1,N/A,26,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,12,0.0,1,1,0.0,1,18,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408_AudienceNetwork-Android(TW)_素材A002_18歲-45歲(女)_興趣手遊(2-2)_AudienceNetwork,N/A,N/A,N/A,2,N/A,9,1,0.5000,0.0000,N/A,N/A,0.0000,N/A,2,3,0.0,2,2,0.0,1,4,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Mobile(All)_0408_AudienceNetwork-Android(TW)_素材B001_18歲-45歲(男)_興趣手遊(1-3)_AudienceNetwork,N/A,N/A,N/A,1,N/A,18,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,6,0.0,1,1,0.0,1,18,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Strategy(All)_0409-Android(TW)_MUA001_18歲-30歲(男)_興趣策略(1-3),N/A,N/A,N/A,1,N/A,2,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,4,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Strategy(All)_0409-Android(TW)_素材A001_18歲-30歲(男)_興趣策略(1-1),N/A,N/A,N/A,3,N/A,26,2,0.6667,0.0000,N/A,N/A,0.0000,N/A,3,9,0.0,3,3,0.0,3,26,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Strategy(All)_0409-Android(TW)_素材A001_31歲-45歲(男)_興趣策略(2-1),N/A,N/A,N/A,9,N/A,73,3,0.3333,0.0000,N/A,N/A,0.0000,N/A,8,16,0.0,7,8,0.0,7,76,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Strategy(All)_0409-Android(TW)_素材B003_18歲-30歲(男)_興趣策略(1-2),N/A,N/A,N/A,7,N/A,55,6,0.8571,0.0000,N/A,N/A,0.0000,N/A,7,23,0.0,7,7,0.0,7,62,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Strategy(All)_0409-Android(TW)_素材B003_31歲-45歲(男)_興趣策略(2-2),N/A,N/A,N/A,2,N/A,51,1,0.5000,0.0000,N/A,N/A,0.0000,N/A,2,8,0.0,2,2,0.0,2,18,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Strategy(All)_0409_AudienceNetwork-Android(TW)_素材B003_18歲-30歲(男)_興趣策略(1-2)_AudienceNetwork,N/A,N/A,N/A,2,N/A,15,2,1.0000,0.0000,N/A,N/A,0.0000,N/A,2,5,0.0,2,2,0.0,2,16,0.0
TW,None,JO_0405,TEST1,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
TW,None,Organic,None,N/A,N/A,N/A,2252,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,9228,0.0,0,2239,0.0,0,23108,0.0
TW,None,new_0405_jo_note4_test1,None,N/A,1,N/A,1,1.0000,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,2,0.0,0,0,0.0,0,0,0.0
TW,None,pid_name_exceeded_max_length,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
TW,None,test_0405_jo,test2,N/A,2,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
TW,None,test_0405_jo_test03,None,N/A,2,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
US,None,Organic,None,N/A,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,7,0.0,0,1,0.0,0,0,0.0
